incident_ID,attribution_ID,attribution_date,attribution_type,attribution_basis,attributing_actor,attribution_it_company,attributing_country,attributed_initiator,attributed_initiator_country,attributed_initiator_category
994,5695.0,2022-08-31,"Political statement / report (e.g., on government / state agency websites)",Attribution by receiver government / state entity,"Marash Dukaj (Public Administration Minister, Montenegro)",Not available,Montenegro,Not available,Not available,Non-state-group
994,5697.0,2022-08-26,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,Agencija za Nacionalnu Bezbjednost (ANB),Not available,Montenegro,Not available,Russia,State
995,1171.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Black Hat Hackers,Bangladesh,Non-state-group
996,1172.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
997,1173.0,2017-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,US CYCOM,United States,State
998,1174.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
999,1175.0,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,DarkHydrus/LazyMeerkat,Unknown,Unknown - not attributed
1000,3851.0,,"Attribution given, type unclear",Media-based attribution,,Not available,,,Unknown,Unknown - not attributed
1001,1178.0,2017-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR),Russia,"Non-state actor, state-affiliation suggested"
1001,1177.0,2017-01-01,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",Media-based attribution,,,,Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR),Russia,"Non-state actor, state-affiliation suggested"
1002,3839.0,,"Attribution given, type unclear",Media-based attribution,,Not available,,,Unknown,Unknown - not attributed
1003,1180.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Akincilar,Turkey,Non-state-group
1004,1181.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
1005,3837.0,,"Attribution given, type unclear",Media-based attribution,,Not available,,,Unknown,Unknown - not attributed
1006,1183.0,2017-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Receiver attributes attacker,,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",Russia,State
1006,1184.0,2017-01-01,Domestic legal action,Attribution by third-party,,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",Russia,State
1007,1185.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
1008,1186.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1009,1187.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1009,1187.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,Military Unit 121,"Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1010,2558.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,Not available,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",Russia,"Non-state actor, state-affiliation suggested"
1011,1189.0,2018-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",IT-security community attributes attacker,,,,Panda,China,"Non-state actor, state-affiliation suggested"
1013,1191.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"APT40/Leviathan/TEMP.Periscope/TEMP.Jumper/GADOLINIUM/BRONZE MOHAWK/MUDCARP/KRYPTONITE PANDA/TA423/G0065 (MSS, Hainan State Security Department/Hainan Xiandun Technology Company)",China,"Non-state actor, state-affiliation suggested"
1014,1192.0,,"Attribution given, type unclear",Media-based attribution,,,,,United States,Unknown - not attributed
1015,1193.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
1017,1196.0,2018-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by receiver government / state entity,,,,"Energetic Bear/Dragonfly/Crouching Yeti/DYMALLOY/Group 24/Havex/TEMP.Isotope/TG-4192/IRON LIBERTY/G0035 (FSB, 16th Center)",Russia,"Non-state actor, state-affiliation suggested"
1018,1197.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,APT32/Ocean Lotus/Sea Lotus,Vietnam,"Non-state actor, state-affiliation suggested"
1019,6581.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1019,6581.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,Military Unit 121,"Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1019,6580.0,2017-01-01,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",Media-based attribution,,Not available,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1019,6580.0,2017-01-01,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",Media-based attribution,,Not available,,Military Unit 121,"Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
1020,1200.0,2020-01-01,Domestic legal action,Attribution by receiver government / state entity,,,,PLA,China,State
1021,1201.0,2017-01-01,"Political statement / report (e.g., on government / state agency websites)",Attribution by receiver government / state entity,,,,,Israel,State
1022,1202.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,APT32/Ocean Lotus/Sea Lotus,Vietnam,"Non-state actor, state-affiliation suggested"
1023,1203.0,2017-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",IT-security community attributes attacker,,,,APT32/Ocean Lotus/Sea Lotus,Philippines,"Non-state actor, state-affiliation suggested"
1024,1204.0,2017-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",Russia,"Non-state actor, state-affiliation suggested"
1025,6417.0,2017-06-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,Not available,Not available,Qatar,Not available,United Arab Emirates,State
1025,6416.0,2017-06-07,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Media-based attribution,Not available,Not available,Not available,Not available,United Arab Emirates,"Non-state actor, state-affiliation suggested"
1025,6415.0,2017-06-07,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by third-party,Federal Bureau of Investigation (FBI),Not available,United States,Not available,Russia,Non-state-group
1025,6418.0,2017-06-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by third-party,US intelligence agencies,Not available,United States,Not available,United Arab Emirates,State
1026,1207.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,RedAlpha ,China,"Non-state actor, state-affiliation suggested"
1027,1208.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
1028,1209.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Vigilance,Unknown,Individual hacker(s)
1029,1210.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Pro-ISIS,Unknown,Non-state-group
1030,1211.0,2017-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,,"Iran, Islamic Republic of",State
1030,1212.0,2017-01-01,"Attribution given, type unclear",Media-based attribution,,,,,"Iran, Islamic Republic of",State
1031,1213.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Team System Dz,Unknown,Non-state-group
1031,1213.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Pro-ISIS,Unknown,Non-state-group
1032,8652.0,2018-02-15,"Political statement / report (e.g., on government / state agency websites)",Attribution by receiver government / state entity,"Lord (Tariq) Ahmad of Wimbledon (Minister of State for the Middle East, North Africa, South Asia and United Nations at the Foreign, Commonwealth & Development Office (FCDO); GBR)",Not available,United Kingdom,"Sandworm/VOODOO Bear/Quedagh/TeleBots/IRON VIKING/Black Energy/IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",Russia,State
1032,8650.0,2017-06-28,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by receiver government / state entity,Roman Boyarchuk (Head of the Center for Cyber Protection within the State Special Communications Service of Ukraine (SSSCIP)),Not available,Ukraine,Unknown,Russia,State
1032,8651.0,2018-01-12,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,Central Intelligence Agency ,Not available,United States,GRU,Russia,State
1032,8653.0,2017-07-03,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,ESET,,Slovakia,"Sandworm/VOODOO Bear/Quedagh/TeleBots/IRON VIKING/Black Energy/IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)",Not available,"Non-state actor, state-affiliation suggested"
1032,8654.0,2018-02-15,"Political statement / report (e.g., on government / state agency websites)",Attribution by receiver government / state entity,The White House,Not available,United States,GRU,Russia,State
1032,8655.0,2018-02-16,"Political statement / report (e.g., on government / state agency websites)",Attribution by receiver government / state entity,Government of Canada,Not available,Canada,Not available,Russia,State
